iter	Passed	Remaining
0	11	11153
1	21	10739
2	31	10534
3	41	10275
4	50	10136
5	61	10132
6	71	10118
7	81	10127
8	92	10176
9	102	10184
10	113	10180
11	122	10124
12	132	10097
13	142	10065
14	153	10059
15	163	10032
16	173	10006
17	183	9994
18	193	9996
19	203	9994
20	214	9979
21	223	9951
22	233	9926
23	243	9905
24	254	9914
25	263	9887
26	273	9861
27	283	9848
28	294	9851
29	304	9845
30	314	9822
31	324	9807
32	334	9790
33	344	9777
34	353	9752
35	363	9734
36	373	9714
37	383	9702
38	393	9691
39	402	9665
40	412	9644
41	422	9630
42	431	9607
43	440	9581
44	450	9557
45	459	9535
46	468	9497
47	478	9492
48	488	9487
49	498	9469
50	508	9452
51	517	9438
52	526	9410
53	536	9393
54	545	9376
55	555	9362
56	564	9340
57	574	9322
58	583	9311
59	593	9295
60	602	9281
61	612	9269
62	621	9244
63	630	9224
64	639	9205
65	649	9190
66	658	9175
67	668	9162
68	678	9156
69	688	9145
70	697	9127
71	707	9119
72	717	9112
73	727	9097
74	736	9084
75	745	9063
76	754	9050
77	764	9035
78	774	9025
79	783	9015
80	793	9006
81	803	8996
82	812	8981
83	822	8971
84	832	8960
85	842	8954
86	852	8950
87	863	8946
88	873	8936
89	883	8929
90	893	8923
91	903	8915
92	913	8905
93	922	8887
94	931	8876
95	941	8864
96	951	8858
97	961	8846
98	971	8839
99	981	8829
100	991	8823
101	1001	8818
102	1011	8806
103	1020	8795
104	1030	8782
105	1039	8768
106	1049	8755
107	1059	8747
108	1069	8744
109	1080	8738
110	1089	8727
111	1099	8720
112	1109	8712
113	1120	8709
114	1130	8701
115	1140	8690
116	1150	8680
117	1160	8676
118	1170	8665
119	1180	8653
120	1189	8639
121	1199	8629
122	1209	8621
123	1219	8617
124	1229	8608
125	1239	8597
126	1249	8588
127	1259	8580
128	1269	8570
129	1279	8560
130	1288	8549
131	1298	8539
132	1308	8527
133	1317	8514
134	1327	8505
135	1336	8492
136	1346	8480
137	1355	8469
138	1365	8457
139	1375	8448
140	1385	8439
141	1394	8428
142	1403	8413
143	1412	8399
144	1422	8390
145	1433	8383
146	1443	8373
147	1452	8362
148	1462	8351
149	1471	8341
150	1481	8331
151	1491	8320
152	1500	8308
153	1511	8301
154	1520	8289
155	1530	8278
156	1539	8265
157	1549	8255
158	1558	8245
159	1569	8237
160	1578	8227
161	1588	8215
162	1598	8205
163	1607	8192
164	1616	8182
165	1626	8172
166	1636	8161
167	1646	8154
168	1655	8139
169	1664	8128
170	1674	8116
171	1682	8100
172	1692	8092
173	1702	8082
174	1713	8076
175	1723	8069
176	1733	8059
177	1743	8052
178	1753	8041
179	1763	8032
180	1773	8026
181	1783	8017
182	1793	8005
183	1802	7995
184	1812	7984
185	1822	7974
186	1832	7966
187	1842	7956
188	1852	7948
189	1862	7939
190	1872	7929
191	1882	7920
192	1892	7911
193	1901	7900
194	1910	7888
195	1920	7878
196	1930	7869
197	1940	7859
198	1950	7849
199	1960	7840
200	1969	7830
201	1979	7820
202	1989	7811
203	1999	7800
204	2008	7790
205	2018	7780
206	2028	7770
207	2037	7759
208	2047	7750
209	2058	7744
210	2068	7735
211	2078	7727
212	2089	7719
213	2099	7711
214	2109	7702
215	2119	7693
216	2129	7684
217	2139	7674
218	2149	7665
219	2158	7653
220	2168	7644
221	2178	7636
222	2189	7627
223	2198	7616
224	2208	7607
225	2218	7596
226	2228	7589
227	2238	7580
228	2248	7568
229	2258	7559
230	2267	7549
231	2277	7538
232	2287	7529
233	2297	7520
234	2306	7509
235	2316	7500
236	2325	7488
237	2335	7478
238	2345	7468
239	2354	7457
240	2364	7447
241	2374	7436
242	2384	7427
243	2393	7416
244	2402	7404
245	2411	7392
246	2421	7381
247	2430	7370
248	2440	7360
249	2449	7349
250	2459	7338
251	2468	7327
252	2478	7317
253	2487	7305
254	2496	7294
255	2506	7283
256	2515	7271
257	2524	7259
258	2533	7248
259	2543	7237
260	2552	7226
261	2561	7215
262	2571	7204
263	2580	7194
264	2589	7182
